URL,PAGETITLE,STATUSCODE,EMAIL
https://elearning.kultur-und-gestalt.de,Kultur & Gestalt - eLearning,404,
https://ruhrmedic.moodlecloud.com,Hier können Sie sich anmelden | Your site,404,
https://160283.logineonrw-lms.de,Hier können Sie sich anmelden | Lernmanagementsystem des Landes NRW,500,
https://workshops.irooms.global,iRooms Digitale Workshops,404,
https://moodle.aim-elearning.org,Startseite | aim Akademie - E-Learning,500,"digital@aim-akademie.org, info@aim-akademie.org"
https://moodle.bgweiz.at,BG/BRG Weiz,404,
https://lms-hsbg.eufh.online,LMS der EUFH (HSBG),404,
https://k9-akademie.de,Startseite | Arbeitsgemeinschaft Mantrailing,404,
https://lehrbriefe.gfs-fernkurse.de,GFS Fernkurse und Informationsveranstaltungen: Hier können Sie sich anmelden,404,an.support-gfs@pannierschulungengbr.de
https://moodle.arcoworld.de,Arcoworld-Moodle,404,
https://ich-lerne-feuerwehr.de,Ausbildung in der Feuerwehr,404,
https://100845.logineonrw-lms.de,Hier können Sie sich anmelden | GGS Richardstraße,500,
https://mdlgb.ch,Moodle - Gymnase du Bugnon - Lausanne,404,
https://igswhv.moodle-nds.de,Startseite | Moodle IGS WHV,404,"christian.bruns@igs-whv.de, christian.bruns@igs-whv.de, christian.bruns@igs-whv.deAlle"
https://moodle.bzpg.de,Digitale Lernplattform des BZPG,404,
https://sdbsdfbsefbserbsr.moodlecloud.com,Site not found,200,
https://lernportal.elkonet.de,ELKOnet-Lernwelt - Anmelden,404,
https://baurechtsmanager.moodlecloud.com,Log in to the site | BM,404,
http://learning.dive-together.de,learning.dive-together.de,404,
http://moodle.technikum-wien.at,Startseite | FHTW Moodle,404,"teachingaward@technikum-wien.at, moodle@technikum-wien.at"
https://moodle.kbz-zug.ch,Home | Kaufmännisches Bildungszentrum Zug,404,
https://moodle.gastrozuerich.ch,Gastro Kanton Zürich Moodle Lernplattform,404,
https://lernplattform.erzbistum-muenchen.de,Startseite | Lernplattform der Erzdiözese München,404,"lernplattform@eomuc.de, lernplattform@eomuc.de, cmueller@eomuc.deTelefon, smalaguti@eomuc.de, mparulska@eomuc.de, lernplattform@eomuc.de.Auch, lernplattform@eomuc.de, lernplattform@eomuc.de, lernplattform@eomuc.de"
https://moodle.lebenshilfe-nrw.net,Hier können Sie sich anmelden | Lebenshilfe Bildung NRW gGmbH,404,e-learning@lebenshilfe-nrw.deAnmeldung
https://moodle.bfi-sbg.at,BFI Salzburg BildungsGmbH Moodle,404,
https://www.piri-piri.academy,Startseite | Piri-Piri Academy,404,adelheid@piri-piri.consulting.Wir
https://moodle.bgzwn.at,moodle.bgzwn.at,404,
https://mo5181.schule.hessen.de,Login - Schulportal Hessen,404,
https://102970.logineonrw-lms.de,Startseite | Schönwasserschule,500,
https://moodle.u-paris.fr,Accueil | MoodleUP,404,
https://moodle.ib-online-akademie.de,Startseite | Online-Akademie,404,
http://moodle.acg-bonn.de,Startseite | Moodle des ACG,404,
https://124552.logineonrw-lms.de,Startseite | LMS der Grundschule Oldentrup,500,
https://om.ostfalia.de,Home | Open Moodle,404,
https://grone-onlineakademie.de,Hier können Sie sich anmelden | Grone Online Akademie,500,
https://04103226300.moodle.bw.schule,Schule@BW ,404,
https://moodle2.agenturonline.net,Startseite | WB-M2,404,
https://lms.pph-augustinum.at,Startseite | e-Learning Portal PPH,404,"Benutzername@pph-augustinum.atpho, office@pph-augustinum.at"
https://moodlepreview.univie.ac.at,Startseite | Moodle-Preview Universität Wien,404,
https://moodle.svi-verpackung.ch,Lernplattform der SVI ACADEMY,404,zopfi@svi-verpackung.ch
https://moodle.sprachenzentrum-bremen.de,Startseite | Moodle-SZHB,404,
https://196794.logineonrw-lms.de,Hier können Sie sich anmelden | LdV Lernmanagementsystem,500,
https://moodev.univie.ac.at,Startseite | Moodle-Schulung Universität Wien,404,
https://www.eju-education.net,Log in to the site | eju-education.net,404,
https://fortbildung.wundteam.com,Lernplattform des Wundteams,404,prennig@wundteam.com
https://campusdonaustadt.at,Startseite | Lernplattform Campus Donaustadt,404,
https://cbg-moodle.de,Startseite | Moodle,500,
https://04120327150.moodle.bw.schule,Schule@BW ,404,
https://moodle.fh-joanneum.at,Startseite | FHJ-2023-24,404,elearning-service@fh-joanneum.at
https://ausbildung.mediation-saar.de,Startseite | Mediation und Mediations-Aus- und Fortbildung,200,
https://04102374300.moodle.bw.schule,Schule@BW ,404,
https://600220.logineonrw-lms.de,Hier können Sie sich anmelden | Moodle-Plattform für die Qualifizierung neuer QP und PM,500,
http://moodle.adam-von-trott-schule.de,Adam-von-Trott-Schule-Moodle,404,"e.maier@avtsontra.deHerrn, b.giesen@avtsontra.deViel"
https://www.qm-learning.de,Startseite | Organisationsberatung,500,"roland.lapschiess@t-online.deHaftungsausschlussDie, stefanie.schulz@qm-lap.deTrainer"
https://moodle.bbcag.ch,Bbc Moodle,404,
https://sebastian-grundschule.de,Start - Sebastian-Schule,200,02222-648964sekretariat@sebastian-grundschule.de
https://mo3155.schule.hessen.de,Login - Schulportal Hessen,404,
http://www.imm-it.de,imm-it,404,
https://gyangangamoodle.in,Moodle - Gyan Ganga Group,404,
https://moodle.diakovere.de,Startseite | Moodle LMS,404,
http://schulung.jumi-ab.org,jumi – Initiative für Jugend und Migration,200,
https://fernlehrgang.spielraum-lernen.de,Fernlehrgang LerntherapeutIn: Hier können Sie sich anmelden,404,
https://openmoodle.uni-bielefeld.de,Startseite | OpenMoodle,404,
http://moodle.gpb-berlin.de,GPB moodle,404,
https://moodle-geo.de,Geographie trifft Moodle,404,
https://life-bildungsnetz.de,Startseite | Home,404,
https://moodle.bszn-da.de,Startseite | BSZN-Moodle,404,
https://moodle.bzg-lippe.de,Startseite | moodle.bzg-lippe.de,404,
https://mo5128.schule.hessen.de,Startseite | Marienhöhe,404,
https://moodle.inll.lu,Accueil | INLL,404,
https://121629.logineonrw-lms.de,Hier können Sie sich anmelden | Lernmanagementsystem KvGS,500,
https://campus.ior-languageacademy.com,Hier können Sie sich anmelden | iOR Sprachakademie,500,
https://moodle.essex.ac.uk,Moodle,404,
http://training.eumetsat.int,HOME | EUMETSAT,404,
https://mo3403.schule.hessen.de,LOHS Error fetching title,404,
https://gsdfeld.moodle-nds.de,Hier können Sie sich anmelden | GS Dietrichsfeld,404,
https://moodle.otto-hahn-gymnasium.de,Moodle - OHG Herne,404,
https://www.team-zierhut.de,Nachhilfeinstitut Kristina Zierhut,404,
https://165827.logineonrw-lms.de,Startseite | Werner-Jaeger-Gymnasium,500,medien@wjg.nrw.schuleBitte
https://100808.logineonrw-lms.de,Hier können Sie sich anmelden | Lernmanagementsystem des Landes NRW,500,
http://moodle.gesamtschule-teltow.de,Moodle der Grace-Hopper-Gesamtschule,200,"support@moodle.gesamtschule-teltow.de, sekretariat@gesamtschule-teltow.de"
https://moodle.agym-klagenfurt.at,eLearning am Abendgymnasium Klagenfurt,404,bg-klu-berufst@bildung-ktn.gv.at
https://www.farrar-imkerschule.net,Prof. Dr. C. L. Farrar Imkerschule,404,info@farrar-Imkerschule.net
https://04133358190.moodle.bw.schule,Schule@BW ,404,
https://188141.logineonrw-lms.de,Hier können Sie sich anmelden | HGE-Moodle,500,sb@hge-witten.de
http://moodle.sws-weiterbildung.ch,Lernbegleitung der SWS Schule für Wirtschaft und Sprachen Winterthur,404,info@sws-weiterbildung.ch
http://moodle.mdw.ac.at,mdwMoodle,404,
https://04112537150.moodle.bw.schule,Schule@BW ,404,
https://cyberlearn.hes-so.ch,Cyberlearn HES-SO,404,cyberlearn@hes-so.ch
https://mzv.lmz-bw.de,Startseite | MZV,404,
https://elearning.uni-regensburg.de,Startseite | GRIPS,404,
https://evb.diakonie-netz.de,Startseite | Diakonische Bildung und Profilbildung,500,
https://cggmoodle.cgg.at,CGG-Lernplattform,200,
https://189820.logineonrw-lms.de,Hier können Sie sich anmelden | Erich Kästner Gesamtschule,500,
https://mo3380.schule.hessen.de,Login - Schulportal Hessen,404,
https://cyberlearn-old.hes-so.ch,Cyberlearn HES-SO,404,cyberlearn@hes-so.ch
https://moodle.polytechnique.fr,Home | L'X,404,
https://schulmoodle.azw.ac.at,Moodle azw fhg,404,
https://ivordi-lernraum.de,Hier können Sie sich anmelden | iVorDi-Lernraum,404,
https://echolearning.de,Hier können Sie sich anmelden | Echo,404,
